Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
BD1201381,,6.4,6.5,3.75,4.75,4.5,,,,,,4.6,N1,BinhDinh
BD1201382,,4.2,3.0,,,,3.5,4.75,5.75,,,2.6,N1,BinhDinh
BD1201383,,2.2,,2.0,1.75,,,,,,,,,BinhDinh
BD1201384,,6.2,5.0,2.75,4.5,5.5,,,,,,3.2,N1,BinhDinh
BD1201385,,3.0,3.5,3.0,1.75,3.0,4.0,5.75,7.0,,,2.8,N1,BinhDinh
BD1201386,,8.6,6.0,6.75,7.5,5.0,,,,,,8.0,N1,BinhDinh
BD1201387,,4.6,6.5,,,,5.0,7.25,6.5,,,4.4,N1,BinhDinh
BD1201388,,7.4,5.25,8.0,7.0,4.5,4.75,7.0,8.0,,,5.2,N1,BinhDinh
BD1201389,,8.2,5.75,8.0,7.0,7.25,,,,,,7.6,N1,BinhDinh
BD1201390,,6.6,4.0,3.5,4.5,3.25,2.75,6.0,8.25,,,4.2,N1,BinhDinh
BD1201391,,7.4,5.5,7.0,6.25,7.25,,,,,,5.2,N1,BinhDinh
BD1201392,,5.4,5.5,6.0,6.0,4.75,,,,,,2.4,N1,BinhDinh
BD1201393,,4.2,3.5,,,,2.5,4.5,5.75,,,3.4,N1,BinhDinh
BD1201394,,6.6,6.0,,,,4.25,4.75,7.0,,,5.6,N1,BinhDinh
BD1201395,,4.8,4.0,,,,3.0,7.5,7.5,,,3.2,N1,BinhDinh
BD1201396,,5.0,4.5,,,,2.5,4.75,5.5,,,2.0,N1,BinhDinh
BD1201397,,6.6,6.75,4.0,3.75,5.25,7.0,7.25,9.5,,,4.8,N1,BinhDinh
BD1201398,,7.0,6.0,5.5,6.25,5.5,,,,,,9.4,N1,BinhDinh
BD1201399,,4.6,5.0,,,,3.0,5.0,5.25,,,4.0,N1,BinhDinh
BD1201400,,4.6,5.75,3.0,4.0,4.25,5.5,7.5,7.75,,,3.2,N1,BinhDinh
BD1201401,,3.8,5.5,,,,5.25,6.25,9.25,,,4.0,N1,BinhDinh
BD1201402,,4.4,2.5,4.0,2.25,3.5,3.25,4.75,6.5,,,1.6,N1,BinhDinh
BD1201403,,2.8,4.0,,,,2.25,6.0,6.5,,,2.8,N1,BinhDinh
BD1201404,,6.4,6.25,,,,5.25,6.25,9.0,,,7.8,N1,BinhDinh
BD1201405,,5.2,6.25,,,,2.25,5.5,8.0,,,4.4,N1,BinhDinh
BD1201406,,7.2,5.5,5.25,5.25,4.25,3.0,6.5,7.75,,,1.6,N1,BinhDinh
BD1201407,,9.0,5.0,9.0,7.75,4.5,,,,,,4.0,N1,BinhDinh
BD1201408,,3.6,3.0,,,,4.5,4.5,6.0,,,3.4,N1,BinhDinh
BD1201409,,2.4,4.5,,,,3.0,3.5,6.0,,,3.0,N1,BinhDinh
BD1201410,,6.4,4.25,,,,3.75,5.25,7.0,,,3.0,N1,BinhDinh
BD1201411,,5.8,7.75,,,,7.0,8.5,7.0,,,5.6,N1,BinhDinh
BD1201412,,7.2,5.0,5.75,7.0,4.5,,,,,,7.4,N1,BinhDinh
BD1201413,,8.2,4.75,5.0,6.0,4.5,,,,,,3.0,N1,BinhDinh
BD1201414,,7.8,3.75,6.0,5.0,3.25,,,,,,4.0,N1,BinhDinh
BD1201415,,8.4,6.0,6.0,7.75,7.75,,,,,,5.2,N1,BinhDinh
BD1201416,,7.0,5.5,5.75,3.75,4.5,,,,,,8.0,N1,BinhDinh
BD1201417,,3.2,5.75,,,,3.25,5.5,7.75,,,3.6,N1,BinhDinh
BD1201418,,6.6,7.0,5.0,7.5,4.75,,,,,,8.4,N1,BinhDinh
BD1201419,,8.0,6.25,6.25,7.75,6.0,,,,,,4.4,N1,BinhDinh
BD1201420,,3.4,4.0,,,,3.25,5.0,5.5,,,2.0,N1,BinhDinh
BD1201421,,5.4,6.5,,,,5.5,6.25,7.0,,,3.8,N1,BinhDinh
BD1201422,,8.4,6.0,3.5,6.25,8.0,,,,,,6.4,N1,BinhDinh
BD1201423,,6.0,5.75,3.0,3.0,3.5,3.0,5.25,7.0,,,4.6,N1,BinhDinh
BD1201424,,6.4,6.75,,,,6.75,7.25,8.75,,,6.8,N1,BinhDinh
BD1201425,,5.2,4.75,2.0,3.25,1.5,4.25,5.25,8.0,,,4.0,N1,BinhDinh
BD1201426,,3.6,5.0,,,,3.0,4.25,4.25,,,2.4,N1,BinhDinh
BD1201427,,6.6,5.75,4.5,5.25,3.5,,,,,,2.4,N1,BinhDinh
BD1201428,,6.6,4.75,5.75,5.75,4.5,,,,,,3.2,N1,BinhDinh
BD1201429,,5.4,5.5,,,,4.5,5.75,9.0,,,3.6,N1,BinhDinh
BD1201430,,6.0,5.25,,,,4.75,6.0,9.25,,,3.2,N1,BinhDinh
BD1201431,,6.6,5.5,5.25,5.75,6.25,,,,,,3.2,N1,BinhDinh
BD1201432,,7.2,7.0,5.75,7.25,6.0,,,,,,4.6,N1,BinhDinh
BD1201433,,7.2,4.25,8.0,5.0,5.25,,,,,,8.0,N1,BinhDinh
BD1201434,,8.8,5.75,6.0,6.5,5.0,,,,,,4.2,N1,BinhDinh
BD1201435,,5.2,4.0,,,,5.25,7.25,8.0,,,3.6,N1,BinhDinh
BD1201436,,8.0,5.25,5.75,4.0,4.25,,,,,,2.6,N1,BinhDinh
BD1201437,,3.2,2.25,,,,3.0,3.0,,,,,,BinhDinh
BD1201438,,5.4,6.5,,,,5.5,7.5,8.25,,,8.2,N1,BinhDinh
BD1201439,,5.0,6.75,,,,6.0,5.5,8.0,,,5.8,N1,BinhDinh
BD1201440,,3.0,3.25,,,,3.25,3.5,5.75,,,1.6,N1,BinhDinh
BD1201441,,2.2,5.0,,,,2.0,3.75,7.75,,,2.6,N1,BinhDinh
BD1201442,,4.0,5.25,,,,3.75,5.75,9.25,,,4.4,N1,BinhDinh
BD1201443,,5.6,4.0,,,,5.5,7.25,8.0,,,1.4,N1,BinhDinh
BD1201444,,6.4,8.0,,,,6.25,7.75,9.25,,,5.6,N1,BinhDinh
BD1201446,,5.2,6.0,,,,4.75,7.5,8.75,,,4.2,N1,BinhDinh
BD1201447,,7.4,7.0,,,,5.5,5.75,8.75,,,5.2,N1,BinhDinh
BD1201448,,6.2,5.5,6.75,6.25,6.5,,,,,,5.6,N1,BinhDinh
BD1201449,,3.0,2.25,,,,1.75,3.75,,,,,,BinhDinh
BD1201450,,7.2,4.0,4.25,3.5,2.75,,,,,,3.4,N1,BinhDinh
BD1201451,,3.6,4.5,,,,3.75,6.25,7.5,,,4.0,N1,BinhDinh
BD1201452,,4.4,4.0,,,,3.0,5.5,4.25,,,3.0,N1,BinhDinh
BD1201453,,5.6,6.0,5.25,4.5,3.5,4.75,5.25,5.25,,,3.2,N1,BinhDinh
BD1201454,,4.6,5.5,,,,4.5,5.75,7.0,,,3.4,N1,BinhDinh
BD1201455,,6.2,8.25,,,,8.0,6.5,9.0,,,7.8,N1,BinhDinh
BD1201456,,5.0,4.25,,,,5.75,6.5,,,,,,BinhDinh
BD1201457,,3.4,3.5,2.0,1.75,2.25,3.0,5.5,6.25,,,4.0,N1,BinhDinh
BD1201458,,6.6,3.75,,,,2.75,8.0,7.75,,,3.8,N1,BinhDinh
BD1201459,,3.0,3.5,,,,3.5,5.75,8.5,,,4.2,N1,BinhDinh
BD1201460,,7.2,6.0,,,,6.0,7.5,6.25,,,4.8,N1,BinhDinh
BD1201461,,9.0,6.5,8.5,6.75,6.5,,,,,,6.2,N1,BinhDinh
BD1201462,,8.4,6.75,6.25,7.25,5.25,,,,,,9.0,N1,BinhDinh
BD1201463,,3.0,5.0,2.25,3.5,2.25,3.5,6.75,6.75,,,2.4,N1,BinhDinh
BD1201464,,5.0,5.5,,,,6.5,5.25,8.25,,,3.8,N1,BinhDinh
BD1201465,,6.4,6.0,,,,3.75,5.0,7.5,,,6.8,N1,BinhDinh
BD1201466,,2.8,,3.0,2.5,,,,,,,,,BinhDinh
BD1201467,,6.0,6.5,,,,4.5,6.25,8.25,,,2.8,N1,BinhDinh
BD1201468,,6.6,5.0,3.25,3.75,4.25,3.0,5.25,6.75,,,2.8,N1,BinhDinh
BD1201469,,5.0,5.75,,,,3.75,6.75,8.25,,,3.0,N1,BinhDinh
BD1201470,,7.8,4.0,4.5,3.75,3.0,,,,,,3.2,N1,BinhDinh
BD1201471,,6.0,6.0,,,,4.5,8.0,8.0,,,4.6,N1,BinhDinh
BD1201472,,6.4,5.0,6.0,2.75,3.0,2.0,4.5,6.75,,,4.4,N1,BinhDinh
BD1201473,,5.4,5.5,6.25,4.25,5.0,,,,,,7.4,N1,BinhDinh
BD1201474,,4.8,3.25,,,,3.0,5.0,7.0,,,2.6,N1,BinhDinh
BD1201475,,3.8,4.0,,,,4.25,6.5,7.75,,,3.0,N1,BinhDinh
BD1201476,,4.6,6.0,4.0,3.0,3.25,,,,,,3.8,N1,BinhDinh
BD1201477,,8.0,6.0,6.5,3.75,5.0,,,,,,5.4,N1,BinhDinh
BD1201478,,8.6,4.75,7.75,6.75,5.75,,,,,,5.6,N1,BinhDinh
BD1201479,,4.8,4.0,3.25,2.0,3.25,3.5,4.75,2.75,,,2.6,N1,BinhDinh
BD1201480,,5.4,5.0,,,,4.25,5.0,8.5,,,3.2,N1,BinhDinh
BD1201481,,4.6,6.25,,,,5.75,5.5,8.0,,,4.4,N1,BinhDinh
BD1201482,,3.6,4.5,,,,4.25,5.0,7.5,,,3.6,N1,BinhDinh
BD1201483,,4.4,4.25,3.0,2.75,4.0,3.5,4.25,6.25,,,3.6,N1,BinhDinh
BD1201484,,5.6,4.0,,,,4.25,7.0,8.75,,,6.0,N1,BinhDinh
BD1201485,,5.6,3.25,,,,7.0,7.25,8.75,,,3.2,N1,BinhDinh
BD1201486,,6.0,4.0,,,,5.0,7.25,8.75,,,3.2,N1,BinhDinh
BD1201487,,7.2,5.5,5.25,7.25,5.0,,,,,,5.4,N1,BinhDinh
BD1201488,,9.2,5.5,7.75,8.0,8.25,,,,,,7.8,N1,BinhDinh
BD1201489,,6.6,5.0,,,,4.0,6.0,8.75,,,3.8,N1,BinhDinh
BD1201490,,6.0,4.0,,,,3.5,6.25,8.25,,,4.0,N1,BinhDinh
BD1201491,,4.0,4.0,3.0,3.75,1.5,3.5,6.75,7.5,,,2.6,N1,BinhDinh
BD1201492,,7.6,6.25,3.75,6.0,4.75,,,,,,5.0,N1,BinhDinh
BD1201493,,5.8,7.25,,,,3.0,6.5,8.0,,,5.4,N1,BinhDinh
BD1201494,,4.4,5.0,,,,2.5,6.0,6.25,,,2.6,N1,BinhDinh
BD1201495,,6.6,5.5,5.75,5.0,4.25,,,,,,6.8,N1,BinhDinh
BD1201496,,7.2,5.0,3.75,4.75,5.0,,,,,,4.4,N1,BinhDinh
BD1201497,,3.2,3.5,,,,3.25,4.25,6.25,,,2.0,N1,BinhDinh
BD1201498,,4.2,5.0,2.75,2.25,3.5,4.75,5.75,8.25,,,2.2,N1,BinhDinh
BD1201499,,3.6,4.0,,,,4.25,5.25,6.75,,,3.0,N1,BinhDinh
BD1201500,,5.0,4.25,,,,4.0,5.75,6.75,,,3.8,N1,BinhDinh
BD1201501,,6.8,4.75,6.0,6.5,4.5,,,,,,5.4,N1,BinhDinh
BD1201502,,3.0,5.5,,,,2.75,5.0,6.25,,,3.8,N1,BinhDinh
BD1201503,,5.8,5.25,3.5,3.75,4.5,3.75,5.5,7.5,,,2.4,N1,BinhDinh
BD1201504,,4.0,6.0,,,,4.75,5.75,8.25,,,2.8,N1,BinhDinh
BD1201505,,6.6,5.75,5.5,4.75,4.75,4.0,6.75,7.0,,,3.4,N1,BinhDinh
BD1201506,,5.4,5.75,,,,3.5,4.5,6.75,,,4.4,N1,BinhDinh
BD1201507,,4.0,4.25,2.75,4.0,2.25,2.25,5.5,6.5,,,2.8,N1,BinhDinh
BD1201508,,7.6,6.75,,,,4.75,5.5,7.0,,,7.0,N1,BinhDinh
BD1201509,,7.2,6.25,6.75,7.0,5.5,,,,,,8.8,N1,BinhDinh
BD1201510,,7.2,6.75,,,,8.0,8.5,9.25,,,4.2,N1,BinhDinh
BD1201511,,6.8,6.25,6.5,7.25,5.25,2.5,7.75,8.25,,,6.0,N1,BinhDinh
BD1201512,,6.8,5.5,4.75,3.5,3.0,,,,,,3.0,N1,BinhDinh
BD1201513,,7.4,6.25,6.0,7.75,5.5,,,,,,6.2,N1,BinhDinh
BD1201514,,2.4,3.75,,,,2.5,3.5,,,,,,BinhDinh
BD1201515,,7.6,5.0,4.75,7.0,7.25,,,,,,5.2,N1,BinhDinh
BD1201516,,7.4,6.0,,,,3.0,6.5,8.75,,,6.4,N1,BinhDinh
BD1201517,,5.2,5.25,2.5,2.0,3.75,5.0,6.5,7.5,,,2.8,N1,BinhDinh
BD1201518,,8.2,6.0,7.25,7.25,5.75,,,,,,5.0,N1,BinhDinh
BD1201519,,4.0,3.5,,,,4.75,5.25,5.25,,,2.8,N1,BinhDinh
BD1201520,,5.4,7.0,,,,5.25,5.5,8.75,,,4.0,N1,BinhDinh
BD1201521,,8.0,6.75,6.25,4.0,6.0,,,,,,7.0,N1,BinhDinh
BD1201522,,2.4,3.25,3.0,4.5,3.0,3.75,5.25,6.0,,,3.0,N1,BinhDinh
BD1201523,,5.4,4.0,3.25,3.25,3.25,4.0,6.0,7.25,,,3.6,N1,BinhDinh
BD1201524,,5.6,5.25,3.25,4.75,5.25,4.5,5.75,6.5,,,3.2,N1,BinhDinh
BD1201525,,6.6,6.5,5.25,8.0,3.5,,,,,,8.4,N1,BinhDinh
BD1201526,,2.6,5.25,2.25,2.75,2.0,4.25,6.5,6.75,,,3.0,N1,BinhDinh
BD1201527,,6.0,5.0,,,,6.0,7.75,7.75,,,2.8,N1,BinhDinh
BD1201528,,2.8,3.25,,,,3.25,5.5,7.25,,,2.6,N1,BinhDinh
BD1201529,,2.6,4.0,,,,3.0,5.25,6.5,,,2.6,N1,BinhDinh
BD1201530,,7.0,6.0,6.25,4.5,5.25,3.25,6.0,6.75,,,5.4,N1,BinhDinh
BD1201531,,6.2,6.75,,,,6.0,8.0,9.25,,,4.4,N1,BinhDinh
BD1201532,,4.6,6.0,,,,5.0,4.75,8.25,,,2.0,N1,BinhDinh
BD1201533,,6.4,6.0,,,,8.0,8.0,8.5,,,4.8,N1,BinhDinh
BD1201534,,6.8,6.0,,,,6.25,7.25,7.25,,,5.4,N1,BinhDinh
BD1201535,,2.2,5.0,,,,3.25,3.25,6.5,,,3.6,N1,BinhDinh
BD1201536,,6.6,5.25,4.0,6.0,5.25,,,,,,2.8,N1,BinhDinh
BD1201537,,3.2,5.5,,,,3.75,5.75,8.25,,,4.0,N1,BinhDinh
BD1201538,,6.6,6.0,6.5,5.5,6.0,3.75,4.5,7.5,,,3.8,N1,BinhDinh
BD1201539,,6.2,5.75,,,,5.0,7.0,9.25,,,5.4,N1,BinhDinh
BD1201540,,4.2,3.75,3.0,2.0,3.0,3.25,5.25,7.0,,,3.4,N1,BinhDinh
BD1201541,,5.8,5.25,3.5,2.25,4.0,4.5,6.5,6.5,,,4.2,N1,BinhDinh
BD1201542,,3.4,3.25,,,,3.75,5.0,6.25,,,5.0,N1,BinhDinh
BD1201543,,6.2,6.5,5.0,7.25,4.75,,,,,,3.6,N1,BinhDinh
BD1201544,,7.8,5.0,5.75,8.25,8.0,,,,,,5.2,N1,BinhDinh
BD1201545,,4.0,5.0,3.0,2.5,2.25,2.25,4.75,8.0,,,3.6,N1,BinhDinh
BD1201546,,2.4,3.5,,,,3.25,6.5,6.5,,,2.2,N1,BinhDinh
BD1201547,,6.2,5.5,4.0,4.25,5.5,,,,,,4.6,N1,BinhDinh
BD1201548,,4.0,5.0,3.0,3.5,3.5,5.25,7.0,7.75,,,2.6,N1,BinhDinh
BD1201549,,5.6,4.25,,,,4.25,5.75,9.0,,,3.6,N1,BinhDinh
BD1201550,,7.4,6.5,6.75,7.0,6.5,,,,,,6.0,N1,BinhDinh
BD1201551,,1.6,2.5,,,,4.0,4.0,5.25,,,2.2,N1,BinhDinh
BD1201552,,7.0,7.5,,,,5.0,4.75,9.0,,,7.4,N1,BinhDinh
BD1201553,,5.8,5.25,3.75,3.75,3.5,5.75,6.0,8.25,,,3.0,N1,BinhDinh
BD1201554,,6.6,5.5,,,,4.25,5.5,8.75,,,3.8,N1,BinhDinh
BD1201555,,7.4,5.75,,,,3.75,7.5,6.25,,,3.6,N1,BinhDinh
BD1201556,,3.8,4.0,,,,1.25,5.5,,,,,,BinhDinh
BD1201557,,7.6,6.25,5.5,5.25,5.0,,,,,,6.8,N1,BinhDinh
BD1201558,,5.2,6.25,,,,3.5,4.75,8.0,,,4.4,N1,BinhDinh
BD1201559,,4.6,4.75,,,,3.75,7.5,7.5,,,4.8,N1,BinhDinh
BD1201560,,4.4,6.0,,,,4.75,5.5,7.25,,,4.8,N1,BinhDinh
BD1201561,,4.6,5.0,,,,3.75,6.0,7.75,,,5.2,N1,BinhDinh
BD1201562,,8.8,6.5,8.0,8.0,4.75,,,,,,5.4,N1,BinhDinh
BD1201563,,5.8,6.0,,,,3.5,7.0,8.75,,,3.4,N1,BinhDinh
BD1201564,,6.2,6.25,,,,4.75,8.0,9.75,,,5.0,N1,BinhDinh
BD1201565,,8.4,6.0,3.75,7.0,4.75,,,,,,7.2,N1,BinhDinh
BD1201566,,6.2,6.25,6.0,3.25,5.75,,,,,,5.8,N1,BinhDinh
BD1201567,,5.0,5.75,,,,5.5,5.25,7.75,,,3.8,N1,BinhDinh
BD1201568,,8.0,6.25,6.75,7.0,7.75,,,,,,6.6,N1,BinhDinh
BD1201569,,5.0,5.5,1.75,4.0,3.0,3.0,4.0,4.75,,,3.6,N1,BinhDinh
BD1201570,,6.6,4.5,5.0,5.0,3.5,,,,,,4.0,N1,BinhDinh
BD1201571,,6.4,6.0,,,,5.5,7.0,8.5,,,2.8,N1,BinhDinh
BD1201572,,7.0,4.75,5.75,7.75,5.25,,,,,,5.4,N1,BinhDinh
BD1201573,,3.2,3.75,2.5,2.75,2.5,4.0,5.5,7.5,,,3.2,N1,BinhDinh
BD1201574,,7.0,6.75,,,,3.25,6.0,8.0,,,3.8,N1,BinhDinh
BD1201575,,3.0,4.75,,,,2.25,5.5,6.0,,,3.8,N1,BinhDinh
BD1201576,,8.6,4.5,6.75,6.75,4.5,4.25,6.5,7.25,,,2.6,N1,BinhDinh
BD1201577,,4.0,6.25,,,,1.75,5.5,8.25,,,4.4,N1,BinhDinh
BD1201578,,6.6,6.5,,,,4.25,6.0,7.0,,,4.0,N1,BinhDinh
BD1201579,,7.4,6.75,,,,7.5,8.0,8.5,,,5.8,N1,BinhDinh
BD1201580,,2.2,5.75,,,,3.5,5.0,7.75,,,3.2,N1,BinhDinh
BD1201581,,6.2,7.5,,,,4.75,6.75,8.75,,,5.0,N1,BinhDinh
BD1201582,,8.8,5.5,7.25,8.5,7.25,,,,,,6.0,N1,BinhDinh
BD1201583,,6.4,5.75,,,,3.0,5.0,7.5,,,5.6,N1,BinhDinh
BD1201584,,3.8,4.5,,,,3.0,4.5,5.0,,,2.4,N1,BinhDinh
BD1201585,,2.6,4.5,,,,2.5,6.0,7.0,,,3.6,N1,BinhDinh
BD1201586,,5.4,4.5,4.5,5.25,4.75,3.0,5.25,4.75,,,3.8,N1,BinhDinh
BD1201587,,8.0,6.75,5.0,5.75,5.0,,,,,,6.6,N1,BinhDinh
BD1201588,,7.0,6.25,5.5,5.25,5.5,,,,,,5.2,N1,BinhDinh
BD1201589,,5.4,5.25,,,,3.0,5.5,7.5,,,2.4,N1,BinhDinh
BD1201590,,3.8,4.0,,,,3.25,5.0,6.25,,,3.8,N1,BinhDinh
BD1201591,,6.2,6.5,,,,6.75,7.25,8.75,,,7.4,N1,BinhDinh
BD1201592,,6.6,6.5,7.0,4.75,3.5,,,,,,6.4,N1,BinhDinh
BD1201593,,7.0,6.0,6.5,5.0,3.75,,,,,,5.8,N1,BinhDinh
BD1201594,,5.6,5.75,,,,2.75,6.5,5.5,,,5.8,N1,BinhDinh
BD1201595,,5.6,1.25,,,,2.0,,,,,,,BinhDinh
BD1201596,,4.2,5.5,,,,5.0,6.25,8.0,,,3.0,N1,BinhDinh
BD1201597,,6.8,6.0,5.75,6.25,3.75,,,,,,5.0,N1,BinhDinh
BD1201598,,2.4,4.5,,,,5.5,4.25,6.25,,,2.4,N1,BinhDinh
BD1201599,,4.8,6.0,,,,4.75,6.0,7.75,,,3.8,N1,BinhDinh
BD1201600,,7.2,7.0,,,,5.75,5.75,8.5,,,5.6,N1,BinhDinh
BD1201601,,5.6,6.5,,,,6.75,6.25,7.75,,,6.6,N1,BinhDinh
BD1201602,,6.0,5.0,6.25,4.25,4.5,4.25,4.75,7.5,,,2.2,N1,BinhDinh
BD1201603,,4.4,4.25,,,,4.25,7.25,7.25,,,2.0,N1,BinhDinh
BD1201604,,6.0,4.5,5.0,5.0,4.75,5.25,5.0,6.5,,,2.8,N1,BinhDinh
BD1201605,,7.2,5.5,5.75,6.5,4.5,,,,,,7.2,N1,BinhDinh
BD1201606,,8.0,7.5,,,,6.75,7.0,8.5,,,9.6,N1,BinhDinh
BD1201607,,2.2,3.0,,,,1.75,5.25,5.25,,,3.0,N1,BinhDinh
BD1201608,,7.6,7.0,6.75,5.25,5.75,,,,,,8.2,N1,BinhDinh
BD1201609,,7.0,8.0,6.25,6.5,2.5,6.0,7.0,9.25,,,3.2,N1,BinhDinh
BD1201610,,2.8,3.0,,,,3.25,4.25,,,,,,BinhDinh
BD1201611,,7.0,5.75,7.75,6.0,4.75,,,,,,4.8,N1,BinhDinh
BD1201612,,3.6,4.25,1.75,1.75,3.5,3.0,4.5,,,,,,BinhDinh
BD1201613,,5.4,4.75,2.25,3.5,3.75,4.5,6.75,7.5,,,2.2,N1,BinhDinh
BD1201614,,8.4,6.0,5.5,7.25,8.0,,,,,,5.2,N1,BinhDinh
BD1201615,,9.0,4.0,8.75,4.0,3.25,,,,,,8.6,N1,BinhDinh
BD1201616,,7.4,6.75,7.75,7.0,4.5,,,,,,6.0,N1,BinhDinh
BD1201617,,2.2,4.5,1.75,2.0,2.75,2.0,2.75,6.0,,,3.6,N1,BinhDinh
BD1201618,,4.0,4.0,,,,2.75,5.75,7.75,,,2.8,N1,BinhDinh
BD1201619,,7.2,5.0,7.25,6.25,5.0,,,,,,2.2,N1,BinhDinh
BD1201620,,8.0,5.5,7.5,7.25,3.75,,,,,,5.2,N1,BinhDinh
BD1201621,,8.2,4.5,6.0,5.0,5.0,,,,,,4.0,N1,BinhDinh
BD1201622,,8.0,8.0,6.5,5.5,6.5,,,,,,6.6,N1,BinhDinh
BD1201623,,6.6,5.5,4.75,1.25,4.25,,,,,,6.2,N1,BinhDinh
BD1201624,,5.6,7.75,,,,7.75,8.75,8.75,,,5.0,N1,BinhDinh
BD1201625,,4.8,4.5,3.75,3.25,2.75,4.25,7.25,9.25,,,3.8,N1,BinhDinh
BD1201626,,7.8,7.75,2.75,4.25,4.75,,,,,,5.8,N1,BinhDinh
BD1201627,,7.8,5.5,8.5,6.25,3.75,,,,,,5.6,N1,BinhDinh
BD1201628,,6.8,6.0,5.5,3.0,3.5,,,,,,4.4,N1,BinhDinh
BD1201629,,8.0,6.0,5.5,7.0,8.0,,,,,,6.2,N1,BinhDinh
BD1201630,,,3.0,,,,3.0,3.25,,,,,,BinhDinh
BD1201631,,8.2,5.25,5.0,6.5,6.25,,,,,,4.6,N1,BinhDinh
BD1201632,,4.2,6.5,,,,4.25,4.75,8.5,,,3.8,N1,BinhDinh
BD1201633,,5.6,6.5,,,,4.0,7.25,8.75,,,6.2,N1,BinhDinh
BD1201634,,8.0,4.75,6.25,7.0,5.5,,,,,,4.0,N1,BinhDinh
BD1201635,,5.8,6.0,,,,3.5,7.25,7.75,,,3.2,N1,BinhDinh
BD1201636,,8.0,4.75,5.5,6.5,4.5,,,,,,6.0,N1,BinhDinh
BD1201637,,4.8,6.0,4.25,3.25,5.75,,,,,,2.4,N1,BinhDinh
BD1201638,,5.8,4.5,6.5,5.75,6.0,,,,,,3.6,N1,BinhDinh
BD1201639,,5.8,5.5,,,,4.25,6.0,6.75,,,5.6,N1,BinhDinh
BD1201640,,5.4,6.25,,,,4.75,7.5,7.75,,,3.2,N1,BinhDinh
BD1201641,,2.8,4.5,,,,3.0,5.5,6.0,,,2.8,N1,BinhDinh
BD1201642,,7.6,,7.5,,,,,,,,4.6,N1,BinhDinh
BD1201643,,5.0,5.5,3.0,3.0,5.0,4.5,5.5,7.25,,,2.6,N1,BinhDinh
BD1201644,,7.0,5.5,,,,5.5,5.5,7.0,,,4.0,N1,BinhDinh
BD1201645,,4.0,4.5,2.25,3.0,2.75,4.0,6.0,6.5,,,2.0,N1,BinhDinh
BD1201646,,8.6,6.25,5.75,8.25,9.25,,,,,,6.4,N1,BinhDinh
BD1201647,,5.4,5.75,2.75,3.0,3.75,3.25,5.5,5.75,,,3.8,N1,BinhDinh
BD1201648,,7.8,5.25,5.25,3.0,4.5,,,,,,3.2,N1,BinhDinh
BD1201649,,7.4,5.75,2.75,5.25,2.75,,,,,,6.0,N1,BinhDinh
BD1201650,,5.0,5.75,,,,3.0,5.5,8.0,,,4.6,N1,BinhDinh
BD1201651,,4.8,4.0,,,,4.0,6.75,7.75,,,2.0,N1,BinhDinh
BD1201652,,3.4,4.5,3.0,4.5,3.25,5.0,6.5,8.75,,,4.0,N1,BinhDinh
BD1201653,,6.2,5.75,,,,4.5,6.0,7.5,,,5.4,N1,BinhDinh
BD1201654,,4.0,4.5,,,,2.5,4.75,6.25,,,2.0,N1,BinhDinh
BD1201655,,8.0,7.5,,,,5.5,6.25,8.25,,,8.4,N1,BinhDinh
BD1201656,,6.8,5.5,,,,5.75,6.75,7.5,,,4.6,N1,BinhDinh
BD1201657,,3.0,5.0,,,,3.75,5.25,7.5,,,2.4,N1,BinhDinh
BD1201658,,6.0,5.75,,,,3.25,6.0,8.75,,,5.4,N1,BinhDinh
BD1201659,,5.2,5.25,,,,5.5,6.5,8.0,,,3.8,N1,BinhDinh
BD1201660,,3.8,6.5,,,,4.75,5.25,8.75,,,3.6,N1,BinhDinh
BD1201661,,5.2,6.25,,,,4.0,5.25,6.5,,,3.8,N1,BinhDinh
BD1201662,,7.4,5.25,6.25,4.25,5.25,,,,,,7.8,N1,BinhDinh
BD1201663,,6.2,4.25,3.75,6.25,4.0,,,,,,3.4,N1,BinhDinh
BD1201664,,6.8,6.5,5.5,5.75,5.25,,,,,,5.2,N1,BinhDinh
BD1201665,,6.8,5.25,5.25,5.25,4.75,4.0,7.0,6.5,,,4.6,N1,BinhDinh
BD1201666,,5.0,5.25,,,,4.0,6.25,8.25,,,3.0,N1,BinhDinh
BD1201667,,5.6,5.0,,,,4.5,5.75,,,,3.2,N1,BinhDinh
BD1201668,,7.8,,,7.5,8.0,,,,,,,,BinhDinh
BD1201669,,6.4,5.75,2.25,2.75,3.25,,,,,,4.2,N1,BinhDinh
BD1201670,,6.6,6.75,,,,5.0,5.75,8.5,,,4.6,N1,BinhDinh
BD1201671,,4.8,4.0,,,,4.5,5.5,8.75,,,4.4,N1,BinhDinh
BD1201672,,7.4,5.0,5.75,7.25,4.25,,,,,,6.2,N1,BinhDinh
BD1201673,,3.2,5.25,,,,4.25,5.25,6.75,,,2.2,N1,BinhDinh
BD1201674,,8.2,6.25,7.5,4.5,5.5,,,,,,6.2,N1,BinhDinh
BD1201675,,7.0,5.0,,,,5.0,6.25,8.25,,,4.2,N1,BinhDinh
